site,season,date_sentinel,cloud_percent
hidango,2021_2022,03-01-2022,0
la_cancha,2022_2023,02-06-2022,0
la_cancha,2022_2023,07-06-2022,20
la_cancha,2022_2023,12-06-2022,100
la_cancha,2022_2023,17-06-2022,100
la_cancha,2022_2023,22-06-2022,100
la_cancha,2022_2023,27-06-2022,0
la_cancha,2022_2023,02-07-2022,0
la_cancha,2022_2023,07-07-2022,0
la_cancha,2022_2023,12-07-2022,0
la_cancha,2022_2023,17-07-2022,0
la_cancha,2022_2023,22-07-2022,0
la_cancha,2022_2023,27-07-2022,100
la_cancha,2022_2023,01-08-2022,100
la_cancha,2022_2023,06-08-2022,100
la_cancha,2022_2023,11-08-2022,100
la_cancha,2022_2023,16-08-2022,100
la_cancha,2022_2023,21-08-2022,0
la_cancha,2022_2023,26-08-2022,100
la_cancha,2022_2023,31-08-2022,100
la_cancha,2022_2023,05-09-2022,0
la_cancha,2022_2023,10-09-2022,0
la_cancha,2022_2023,15-09-2022,100
la_cancha,2022_2023,20-09-2022,50
la_cancha,2022_2023,25-09-2022,100
la_cancha,2022_2023,30-09-2022,100
la_cancha,2022_2023,05-10-2022,100
la_cancha,2022_2023,10-10-2022,20
la_cancha,2022_2023,15-10-2022,0
la_cancha,2022_2023,20-10-2022,0
la_cancha,2022_2023,25-10-2022,100
la_cancha,2022_2023,30-10-2022,0
la_cancha,2022_2023,04-11-2022,100
la_cancha,2022_2023,09-11-2022,100
la_cancha,2022_2023,14-11-2022,0
la_cancha,2022_2023,19-11-2022,0
la_cancha,2022_2023,24-11-2022,100
la_cancha,2022_2023,29-11-2022,100
la_cancha,2022_2023,04-12-2022,0
la_cancha,2022_2023,09-12-2022,0
la_cancha,2022_2023,14-12-2022,0
la_cancha,2022_2023,19-12-2022,0
la_cancha,2022_2023,24-12-2022,0
la_cancha,2022_2023,29-12-2022,0
hidango,2022_2023,28-05-2022,20
hidango,2022_2023,02-06-2022,0
hidango,2022_2023,07-06-2022,20
hidango,2022_2023,12-06-2022,100
hidango,2022_2023,17-06-2022,100
hidango,2022_2023,22-06-2022,100
hidango,2022_2023,27-06-2022,0
hidango,2022_2023,02-07-2022,0
hidango,2022_2023,07-07-2022,0
hidango,2022_2023,12-07-2022,0
hidango,2022_2023,17-07-2022,100
hidango,2022_2023,22-07-2022,0
hidango,2022_2023,27-07-2022,0
hidango,2022_2023,01-08-2022,100
hidango,2022_2023,06-08-2022,100
hidango,2022_2023,11-08-2022,0
hidango,2022_2023,16-08-2022,100
hidango,2022_2023,21-08-2022,0
hidango,2022_2023,26-08-2022,100
hidango,2022_2023,31-08-2022,100
hidango,2022_2023,05-09-2022,0
hidango,2022_2023,10-09-2022,0
hidango,2022_2023,15-09-2022,50
hidango,2022_2023,20-09-2022,100
hidango,2022_2023,25-09-2022,100
hidango,2022_2023,30-09-2022,100
hidango,2022_2023,05-10-2022,20
hidango,2022_2023,10-10-2022,100
hidango,2022_2023,15-10-2022,0
hidango,2022_2023,20-10-2022,0
hidango,2022_2023,25-10-2022,100
hidango,2022_2023,30-10-2022,0
hidango,2022_2023,04-11-2022,100
hidango,2022_2023,09-11-2022,100
hidango,2022_2023,14-11-2022,0
hidango,2022_2023,19-11-2022,0
hidango,2022_2023,24-11-2022,100
hidango,2022_2023,29-11-2022,100
hidango,2022_2023,04-12-2022,0
hidango,2022_2023,09-12-2022,0
hidango,2022_2023,14-12-2022,0
hidango,2022_2023,19-12-2022,0
hidango,2022_2023,24-12-2022,0
hidango,2022_2023,29-12-2022,0
hidango,2022_2023,03-01-2023,0
